Occupation Title;Occupation Code;Occupation Type;2023 Employment;2023 Percent of Industry;2023 Percent of Occupation;Projected 2033 Employment;Projected 2033 Percent of Industry;Projected 2033 Percent of Occupation;Employment Change, 2023-2033;Employment Percent Change, 2023-2033;Occupation Sort;Display Level;source_file;Industry Title;Industry Code;Industry Type;Industry Sort
Environmental scientists and geoscientists;"=""19-2040""";Summary;1.5;0.0;1.3;1.5;0.0;1.2;0.1;3.5;192.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Environmental scientists and specialists, including health;"=""19-2041""";Line Item;1.3;0.0;1.5;1.3;0.0;1.4;0.0;3.9;193.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Geoscientists, except hydrologists and geographers;"=""19-2042""";Line Item;0.2;0.0;0.8;0.2;0.0;0.8;0.0;0.9;194.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Physical scientists, all other;"=""19-2099""";Line Item;1.5;0.0;4.4;1.6;0.0;4.5;0.1;5.5;196.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Social scientists and related workers;"=""19-3000""";Summary;0.1;0.0;0.0;0.1;0.0;0.0;0.0;1.4;197.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Economists;"=""19-3011""";Line Item;0.1;0.0;0.4;0.1;0.0;0.4;0.0;0.5;198.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Life, physical, and social science technicians;"=""19-4000""";Summary;55.8;0.4;13.7;59.1;0.5;13.7;3.3;5.9;213.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Agricultural and food science technicians;"=""19-4010""";Summary;11.7;0.1;26.1;12.9;0.1;27.1;1.2;10.7;214.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Agricultural technicians;"=""19-4012""";Line Item;1.2;0.0;6.2;1.3;0.0;6.3;0.1;8.1;215.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Food science technicians;"=""19-4013""";Line Item;10.4;0.1;41.6;11.6;0.1;43.1;1.1;11.0;216.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Biological technicians;"=""19-4021""";Line Item;8.1;0.1;9.8;8.6;0.1;9.7;0.4;5.5;217.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Chemical technicians;"=""19-4031""";Line Item;26.7;0.2;45.8;27.9;0.2;45.5;1.3;4.7;218.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Environmental science and geoscience technicians;"=""19-4040""";Summary;1.0;0.0;2.1;1.0;0.0;2.0;0.0;1.6;219.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Environmental science and protection technicians, including health;"=""19-4042""";Line Item;0.5;0.0;1.4;0.5;0.0;1.4;0.0;4.4;220.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Geological technicians, except hydrologic technicians;"=""19-4043""";Line Item;0.5;0.0;5.0;0.5;0.0;4.8;0.0;-1.3;221.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Nuclear technicians;"=""19-4051""";Line Item;0.4;0.0;7.6;0.4;0.0;8.6;0.0;5.8;223.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Miscellaneous life, physical, and social science technicians;"=""19-4090""";Summary;7.9;0.1;7.8;8.2;0.1;7.5;0.3;4.2;226.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Life, physical, and social science technicians, all other;"=""19-4099""";Line Item;7.9;0.1;9.5;8.2;0.1;9.4;0.3;4.2;228.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Occupational health and safety specialists and technicians;"=""19-5000""";Summary;27.0;0.2;17.6;30.4;0.2;17.3;3.4;12.6;229.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Occupational health and safety specialists;"=""19-5011""";Line Item;21.2;0.2;16.9;24.2;0.2;16.7;3.0;14.1;230.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Occupational health and safety technicians;"=""19-5012""";Line Item;5.8;0.0;20.8;6.2;0.0;20.0;0.4;7.0;231.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Community and social service occupations;"=""21-0000""";Summary;0.2;0.0;0.0;0.2;0.0;0.0;0.0;5.3;232.0;1;National_Employment_Matrix_IND_31-330.csv;;;;
Religious workers;"=""21-2000""";Summary;0.2;0.0;0.0;0.2;0.0;0.0;0.0;5.7;251.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Clergy;"=""21-2011""";Line Item;0.2;0.0;0.1;0.2;0.0;0.1;0.0;5.7;252.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Legal occupations;"=""23-0000""";Summary;7.3;0.1;0.5;7.6;0.1;0.5;0.3;4.5;255.0;1;National_Employment_Matrix_IND_31-330.csv;;;;
Lawyers, judges, and related workers;"=""23-1000""";Summary;5.8;0.0;0.6;6.1;0.0;0.6;0.3;5.3;256.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Lawyers and judicial law clerks;"=""23-1010""";Summary;5.8;0.0;0.7;6.1;0.0;0.7;0.3;5.3;257.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Lawyers;"=""23-1011""";Line Item;5.8;0.0;0.7;6.1;0.0;0.7;0.3;5.3;258.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Legal support workers;"=""23-2000""";Summary;1.5;0.0;0.3;1.5;0.0;0.3;0.0;1.3;264.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Paralegals and legal assistants;"=""23-2011""";Line Item;1.2;0.0;0.3;1.2;0.0;0.3;0.0;0.1;265.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Miscellaneous legal support workers;"=""23-2090""";Summary;0.3;0.0;0.3;0.3;0.0;0.3;0.0;5.9;266.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Legal support workers, all other;"=""23-2099""";Line Item;0.3;0.0;0.7;0.3;0.0;0.7;0.0;5.9;268.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Educational instruction and library occupations;"=""25-0000""";Summary;0.4;0.0;0.0;0.4;0.0;0.0;0.0;4.7;269.0;1;National_Employment_Matrix_IND_31-330.csv;;;;
Other teachers and instructors;"=""25-3000""";Summary;0.1;0.0;0.0;0.2;0.0;0.0;0.0;10.0;335.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Self-enrichment teachers;"=""25-3021""";Line Item;0.1;0.0;0.0;0.1;0.0;0.0;0.0;14.5;337.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Librarians, curators, and archivists;"=""25-4000""";Summary;0.1;0.0;0.0;0.1;0.0;0.0;0.0;-0.8;341.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Librarians and media collections specialists;"=""25-4022""";Line Item;0.1;0.0;0.1;0.1;0.0;0.1;0.0;0.3;346.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Other educational instruction and library occupations;"=""25-9000""";Summary;0.1;0.0;0.0;0.2;0.0;0.0;0.0;4.2;348.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Instructional coordinators;"=""25-9031""";Line Item;0.1;0.0;0.1;0.1;0.0;0.1;0.0;5.1;350.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Arts, design, entertainment, sports, and media occupations;"=""27-0000""";Summary;84.5;0.7;2.7;84.3;0.6;2.6;-0.2;-0.2;355.0;1;National_Employment_Matrix_IND_31-330.csv;;;;
Art and design workers;"=""27-1000""";Summary;66.7;0.5;7.0;66.5;0.5;6.7;-0.2;-0.3;356.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Artists and related workers;"=""27-1010""";Summary;3.8;0.0;1.5;3.7;0.0;1.4;-0.1;-3.2;357.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Art directors;"=""27-1011""";Line Item;1.8;0.0;1.4;1.7;0.0;1.3;-0.1;-6.8;358.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Craft artists;"=""27-1012""";Line Item;0.5;0.0;3.8;0.5;0.0;3.7;0.0;-0.2;359.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Fine artists, including painters, sculptors, and illustrators;"=""27-1013""";Line Item;0.6;0.0;2.1;0.6;0.0;2.0;0.0;-0.4;360.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Special effects artists and animators;"=""27-1014""";Line Item;0.8;0.0;1.1;0.8;0.0;1.1;0.0;0.1;361.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Artists and related workers, all other;"=""27-1019""";Line Item;0.1;0.0;0.7;0.1;0.0;0.7;0.0;2.7;362.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Designers;"=""27-1020""";Summary;62.9;0.5;8.9;62.8;0.5;8.7;-0.1;-0.1;363.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Commercial and industrial designers;"=""27-1021""";Line Item;10.1;0.1;29.8;10.1;0.1;28.7;-0.1;-0.9;364.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Fashion designers;"=""27-1022""";Line Item;2.1;0.0;9.7;1.7;0.0;7.6;-0.4;-17.9;365.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Graphic designers;"=""27-1024""";Line Item;38.0;0.3;14.2;35.9;0.3;13.1;-2.1;-5.5;367.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Interior designers;"=""27-1025""";Line Item;0.9;0.0;1.0;0.9;0.0;0.9;0.0;-3.6;368.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Merchandise displayers and window trimmers;"=""27-1026""";Line Item;9.9;0.1;5.6;12.5;0.1;6.8;2.6;26.1;369.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Designers, all other;"=""27-1029""";Line Item;1.6;0.0;5.2;1.5;0.0;4.9;-0.1;-3.7;371.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Entertainers and performers, sports and related workers;"=""27-2000""";Summary;0.5;0.0;0.1;0.5;0.0;0.0;0.0;-3.6;372.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Actors, producers, and directors;"=""27-2010""";Summary;0.4;0.0;0.2;0.3;0.0;0.1;0.0;-7.9;373.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Producers and directors;"=""27-2012""";Line Item;0.4;0.0;0.2;0.3;0.0;0.2;0.0;-7.9;375.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Media and communication workers;"=""27-3000""";Summary;15.0;0.1;1.8;15.1;0.1;1.8;0.1;0.8;389.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
News analysts, reporters, and journalists;"=""27-3023""";Line Item;0.1;0.0;0.1;0.0;0.0;0.1;0.0;-13.3;391.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Public relations specialists;"=""27-3031""";Line Item;6.3;0.0;2.0;6.5;0.0;2.0;0.2;3.3;392.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Writers and editors;"=""27-3040""";Summary;7.9;0.1;2.5;7.8;0.1;2.4;-0.1;-0.8;393.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Editors;"=""27-3041""";Line Item;0.6;0.0;0.5;0.6;0.0;0.5;0.0;1.1;394.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Technical writers;"=""27-3042""";Line Item;6.8;0.1;13.6;6.7;0.1;12.9;-0.1;-1.3;395.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Writers and authors;"=""27-3043""";Line Item;0.5;0.0;0.3;0.5;0.0;0.3;0.0;5.1;396.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Miscellaneous media and communication workers;"=""27-3090""";Summary;0.8;0.0;0.6;0.8;0.0;0.6;0.0;-1.9;397.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Interpreters and translators;"=""27-3091""";Line Item;0.6;0.0;0.7;0.6;0.0;0.7;0.0;-0.1;398.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Media and communication workers, all other;"=""27-3099""";Line Item;0.2;0.0;0.7;0.2;0.0;0.6;0.0;-7.4;400.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Media and communication equipment workers;"=""27-4000""";Summary;2.3;0.0;0.6;2.2;0.0;0.5;-0.1;-4.5;401.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Broadcast, sound, and lighting technicians;"=""27-4010""";Summary;1.3;0.0;0.9;1.2;0.0;0.8;-0.1;-6.2;402.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Audio and video technicians;"=""27-4011""";Line Item;1.0;0.0;1.1;0.9;0.0;1.0;0.0;-4.1;403.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Sound engineering technicians;"=""27-4014""";Line Item;0.2;0.0;1.0;0.2;0.0;0.9;0.0;-10.6;405.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Lighting technicians;"=""27-4015""";Line Item;0.1;0.0;1.1;0.1;0.0;1.0;0.0;-15.5;406.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Photographers;"=""27-4021""";Line Item;0.6;0.0;0.4;0.6;0.0;0.4;0.0;-4.9;407.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Television, video, and film camera operators and editors;"=""27-4030""";Summary;0.4;0.0;0.5;0.4;0.0;0.5;0.0;0.8;408.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Camera operators, television, video, and film;"=""27-4031""";Line Item;0.2;0.0;0.4;0.2;0.0;0.4;0.0;-6.8;409.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Film and video editors;"=""27-4032""";Line Item;0.2;0.0;0.5;0.2;0.0;0.5;0.0;6.2;410.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Media and communication equipment workers, all other;"=""27-4099""";Line Item;0.1;0.0;0.6;0.1;0.0;0.5;0.0;-2.6;411.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Healthcare practitioners and technical occupations;"=""29-0000""";Summary;12.2;0.1;0.1;13.4;0.1;0.1;1.3;10.4;412.0;1;National_Employment_Matrix_IND_31-330.csv;;;;
Healthcare diagnosing or treating practitioners;"=""29-1000""";Summary;4.3;0.0;0.1;4.5;0.0;0.1;0.2;4.5;413.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Dietitians and nutritionists;"=""29-1031""";Line Item;0.1;0.0;0.1;0.1;0.0;0.1;0.0;13.3;421.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Pharmacists;"=""29-1051""";Line Item;1.2;0.0;0.4;1.3;0.0;0.4;0.1;5.5;423.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Veterinarians;"=""29-1131""";Line Item;0.1;0.0;0.1;0.1;0.0;0.1;0.0;7.6;435.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Registered nurses;"=""29-1141""";Line Item;2.2;0.0;0.1;2.3;0.0;0.1;0.1;3.1;436.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Nurse anesthetists;"=""29-1151""";Line Item;0.1;0.0;0.3;0.2;0.0;0.3;0.0;7.2;437.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Nurse practitioners;"=""29-1171""";Line Item;0.1;0.0;0.0;0.1;0.0;0.0;0.0;4.5;439.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Audiologists;"=""29-1181""";Line Item;0.1;0.0;0.8;0.1;0.0;0.7;0.0;5.3;440.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Physicians;"=""29-1210""";Summary;0.2;0.0;0.0;0.2;0.0;0.0;0.0;4.8;441.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Physicians, all other;"=""29-1229""";Line Item;0.1;0.0;0.0;0.1;0.0;0.0;0.0;4.6;454.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Miscellaneous healthcare diagnosing or treating practitioners;"=""29-1290""";Summary;0.1;0.0;0.0;0.1;0.0;0.0;0.0;6.5;460.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Health technologists and technicians;"=""29-2000""";Summary;7.7;0.1;0.2;8.7;0.1;0.3;1.0;13.7;464.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Clinical laboratory technologists and technicians;"=""29-2010""";Line Item;1.1;0.0;0.3;1.2;0.0;0.3;0.1;5.4;465.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Diagnostic related technologists and technicians;"=""29-2030""";Summary;0.1;0.0;0.0;0.1;0.0;0.0;0.0;5.4;466.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Emergency medical technicians and paramedics;"=""29-2040""";Summary;0.2;0.0;0.1;0.2;0.0;0.1;0.0;1.3;473.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Emergency medical technicians;"=""29-2042""";Line Item;0.2;0.0;0.1;0.2;0.0;0.1;0.0;1.0;474.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Health practitioner support technologists and technicians;"=""29-2050""";Summary;3.0;0.0;0.3;3.3;0.0;0.3;0.3;9.2;476.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Pharmacy technicians;"=""29-2052""";Line Item;2.8;0.0;0.6;3.1;0.0;0.6;0.3;9.4;478.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Veterinary technologists and technicians;"=""29-2056""";Line Item;0.2;0.0;0.1;0.2;0.0;0.1;0.0;5.9;481.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Licensed practical and licensed vocational nurses;"=""29-2061""";Line Item;0.2;0.0;0.0;0.3;0.0;0.0;0.0;4.5;483.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Medical records specialists;"=""29-2072""";Line Item;0.1;0.0;0.1;0.1;0.0;0.1;0.0;8.7;484.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Opticians, dispensing;"=""29-2081""";Line Item;0.1;0.0;0.1;0.1;0.0;0.1;0.0;7.0;485.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Miscellaneous health technologists and technicians;"=""29-2090""";Summary;2.8;0.0;1.4;3.4;0.0;1.6;0.7;24.3;486.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Orthotists and prosthetists;"=""29-2091""";Line Item;2.5;0.0;27.9;3.2;0.0;30.6;0.7;26.1;487.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Hearing aid specialists;"=""29-2092""";Line Item;0.1;0.0;1.2;0.1;0.0;1.1;0.0;5.2;488.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Health technologists and technicians, all other;"=""29-2099""";Line Item;0.1;0.0;0.1;0.1;0.0;0.1;0.0;1.3;489.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Other healthcare practitioners and technical occupations;"=""29-9000""";Summary;0.2;0.0;0.1;0.2;0.0;0.1;0.0;9.9;490.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Health information technologists and medical registrars;"=""29-9021""";Line Item;0.1;0.0;0.2;0.1;0.0;0.2;0.0;16.1;491.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Miscellaneous health practitioners and technical workers;"=""29-9090""";Summary;0.1;0.0;0.1;0.1;0.0;0.1;0.0;5.6;492.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Healthcare practitioners and technical workers, all other;"=""29-9099""";Line Item;0.1;0.0;0.3;0.1;0.0;0.3;0.0;5.8;496.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Healthcare support occupations;"=""31-0000""";Summary;1.1;0.0;0.0;1.1;0.0;0.0;0.1;5.8;497.0;1;National_Employment_Matrix_IND_31-330.csv;;;;
Other healthcare support occupations;"=""31-9000""";Summary;1.0;0.0;0.1;1.1;0.0;0.1;0.1;6.4;511.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Miscellaneous healthcare support occupations;"=""31-9090""";Summary;1.0;0.0;0.1;1.1;0.0;0.1;0.1;6.4;513.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Dental assistants;"=""31-9091""";Line Item;0.1;0.0;0.0;0.1;0.0;0.0;0.0;7.2;514.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Medical assistants;"=""31-9092""";Line Item;0.2;0.0;0.0;0.2;0.0;0.0;0.0;5.8;515.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Medical equipment preparers;"=""31-9093""";Line Item;0.2;0.0;0.2;0.2;0.0;0.2;0.0;5.9;516.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Pharmacy aides;"=""31-9095""";Line Item;0.1;0.0;0.1;0.1;0.0;0.1;0.0;7.4;518.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Veterinary assistants and laboratory animal caretakers;"=""31-9096""";Line Item;0.1;0.0;0.1;0.1;0.0;0.1;0.0;5.7;519.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Healthcare support workers, all other;"=""31-9099""";Line Item;0.4;0.0;0.3;0.4;0.0;0.3;0.0;7.0;521.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Protective service occupations;"=""33-0000""";Summary;11.4;0.1;0.3;11.0;0.1;0.3;-0.4;-3.9;522.0;1;National_Employment_Matrix_IND_31-330.csv;;;;
Supervisors of protective service workers;"=""33-1000""";Summary;0.8;0.0;0.2;0.8;0.0;0.2;0.0;0.4;523.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
First-line supervisors of firefighting and prevention workers;"=""33-1021""";Line Item;0.1;0.0;0.2;0.1;0.0;0.1;0.0;1.8;527.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Miscellaneous first-line supervisors, protective service workers;"=""33-1090""";Summary;0.7;0.0;0.8;0.7;0.0;0.7;0.0;0.2;528.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
First-line supervisors of security workers;"=""33-1091""";Line Item;0.5;0.0;0.7;0.5;0.0;0.7;0.0;-2.1;529.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
First-line supervisors of protective service workers, all other;"=""33-1099""";Line Item;0.2;0.0;0.9;0.2;0.0;0.9;0.0;6.2;530.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Firefighting and prevention workers;"=""33-2000""";Summary;0.5;0.0;0.1;0.5;0.0;0.1;0.0;1.8;531.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Firefighters;"=""33-2011""";Line Item;0.4;0.0;0.1;0.4;0.0;0.1;0.0;2.1;532.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Fire inspectors;"=""33-2020""";Summary;0.1;0.0;0.5;0.1;0.0;0.4;0.0;0.6;533.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Fire inspectors and investigators;"=""33-2021""";Line Item;0.1;0.0;0.5;0.1;0.0;0.5;0.0;0.6;534.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Other protective service workers;"=""33-9000""";Summary;10.1;0.1;0.6;9.7;0.1;0.5;-0.5;-4.5;546.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Private detectives and investigators;"=""33-9021""";Line Item;0.2;0.0;0.4;0.2;0.0;0.4;0.0;4.0;548.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Security guards and gambling surveillance officers;"=""33-9030""";Summary;9.6;0.1;0.8;9.2;0.1;0.7;-0.5;-4.9;549.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Security guards;"=""33-9032""";Line Item;9.6;0.1;0.8;9.2;0.1;0.7;-0.5;-4.9;551.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Miscellaneous protective service workers;"=""33-9090""";Summary;0.3;0.0;0.1;0.4;0.0;0.1;0.0;2.6;552.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Crossing guards and flaggers;"=""33-9091""";Line Item;0.2;0.0;0.2;0.2;0.0;0.2;0.0;1.0;553.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Protective service workers, all other;"=""33-9099""";Line Item;0.2;0.0;0.2;0.2;0.0;0.2;0.0;4.0;557.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Food preparation and serving related occupations;"=""35-0000""";Summary;134.6;1.0;1.0;162.4;1.2;1.1;27.8;20.6;558.0;1;National_Employment_Matrix_IND_31-330.csv;;;;
Supervisors of food preparation and serving workers;"=""35-1000""";Summary;10.6;0.1;0.8;12.7;0.1;0.9;2.1;19.7;559.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Chefs and head cooks;"=""35-1011""";Line Item;2.1;0.0;1.1;2.5;0.0;1.2;0.4;18.8;560.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
First-line supervisors of food preparation and serving workers;"=""35-1012""";Line Item;8.5;0.1;0.7;10.2;0.1;0.8;1.7;20.0;561.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Cooks and food preparation workers;"=""35-2000""";Summary;28.5;0.2;0.8;33.8;0.3;0.9;5.3;18.5;562.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Cooks;"=""35-2010""";Summary;14.1;0.1;0.5;17.8;0.1;0.6;3.7;26.0;563.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Cooks, fast food;"=""35-2011""";Line Item;1.1;0.0;0.2;1.2;0.0;0.2;0.2;17.1;564.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Cooks, institution and cafeteria;"=""35-2012""";Line Item;0.8;0.0;0.2;0.9;0.0;0.2;0.0;4.3;565.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Cooks, restaurant;"=""35-2014""";Line Item;9.6;0.1;0.7;12.6;0.1;0.8;3.0;31.4;567.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Cooks, short order;"=""35-2015""";Line Item;1.3;0.0;1.0;1.6;0.0;1.3;0.3;21.0;568.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Cooks, all other;"=""35-2019""";Line Item;1.3;0.0;6.3;1.4;0.0;6.7;0.2;12.2;569.0;4;National_Employment_Matrix_IND_31-330.csv;;;;
Food preparation workers;"=""35-2021""";Line Item;14.3;0.1;1.6;15.9;0.1;1.8;1.6;11.2;570.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Food and beverage serving workers;"=""35-3000""";Summary;83.2;0.6;1.2;101.2;0.8;1.4;18.0;21.6;571.0;2;National_Employment_Matrix_IND_31-330.csv;;;;
Bartenders;"=""35-3011""";Line Item;36.3;0.3;4.9;46.3;0.4;5.8;10.0;27.7;572.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Fast food and counter workers;"=""35-3023""";Line Item;24.1;0.2;0.6;25.9;0.2;0.7;1.9;7.7;573.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Waiters and waitresses;"=""35-3031""";Line Item;22.2;0.2;1.0;28.1;0.2;1.2;5.9;26.6;574.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
Food servers, nonrestaurant;"=""35-3041""";Line Item;0.7;0.0;0.3;0.9;0.0;0.3;0.2;25.9;575.0;3;National_Employment_Matrix_IND_31-330.csv;;;;
