occupation_title;occupation_code;2023_employment;projected_2033_employment;employment_percent_change_2023-2033;employment_change_2023-2033
Bookkeeping, accounting, and auditing clerks;"=""43-3031""";101.4;92.6;-8.7;-8.9
Payroll and timekeeping clerks;"=""43-3051""";8.1;6.6;-18.3;-1.5
Procurement clerks;"=""43-3061""";9.2;8.4;-8.4;-0.8
Financial clerks, all other;"=""43-3099""";0.1;0.1;4.6;0.0
Information and record clerks;"=""43-4000""";178.9;160.4;-10.3;-18.5
Correspondence clerks;"=""43-4021""";0.1;0.1;-9.1;0.0
Credit authorizers, checkers, and clerks;"=""43-4041""";0.3;0.3;-8.4;0.0
Customer service representatives;"=""43-4051""";136.2;122.9;-9.8;-13.3
File clerks;"=""43-4071""";2.9;2.4;-18.2;-0.5
Order clerks;"=""43-4151""";15.7;12.6;-19.6;-3.1
Human resources assistants, except payroll and timekeeping;"=""43-4161""";8.0;7.3;-7.9;-0.6
Receptionists and information clerks;"=""43-4171""";14.7;13.8;-6.5;-1.0
Information and record clerks, all other;"=""43-4199""";0.8;0.9;3.0;0.0
Material recording, scheduling, dispatching, and distributing workers;"=""43-5000""";364.1;345.6;-5.1;-18.5
Cargo and freight agents;"=""43-5011""";0.2;0.2;6.3;0.0
Couriers and messengers;"=""43-5021""";0.9;0.9;4.4;0.0
Dispatchers;"=""43-5030""";7.2;7.1;-1.9;-0.1
Dispatchers, except police, fire, and ambulance;"=""43-5032""";7.2;7.1;-1.9;-0.1
Production, planning, and expediting clerks;"=""43-5061""";119.9;122.2;2.0;2.4
Shipping, receiving, and inventory clerks;"=""43-5071""";228.5;208.2;-8.9;-20.3
Weighers, measurers, checkers, and samplers, recordkeeping;"=""43-5111""";7.5;7.0;-6.5;-0.5
Secretaries and administrative assistants;"=""43-6000""";94.4;92.1;-2.4;-2.3
Executive secretaries and executive administrative assistants;"=""43-6011""";19.0;18.7;-1.7;-0.3
Legal secretaries and administrative assistants;"=""43-6012""";0.1;0.1;-5.8;0.0
Medical secretaries and administrative assistants;"=""43-6013""";0.6;0.6;4.7;0.0
Secretaries and administrative assistants, except legal, medical, and executive;"=""43-6014""";74.7;72.7;-2.6;-2.0
Other office and administrative support workers;"=""43-9000""";148.7;133.6;-10.1;-15.1
Data entry and information processing workers;"=""43-9020""";6.3;4.5;-29.7;-1.9
Data entry keyers;"=""43-9021""";6.3;4.4;-29.5;-1.8
Word processors and typists;"=""43-9022""";0.1;0.1;-39.1;0.0
Desktop publishers;"=""43-9031""";0.3;0.2;-23.7;-0.1
Insurance claims and policy processing clerks;"=""43-9041""";0.2;0.2;6.9;0.0
Mail clerks and mail machine operators, except postal service;"=""43-9051""";4.4;3.4;-22.2;-1.0
Office clerks, general;"=""43-9061""";132.3;120.8;-8.7;-11.5
Office machine operators, except computer;"=""43-9071""";1.1;0.8;-23.9;-0.3
Proofreaders and copy markers;"=""43-9081""";0.2;0.2;-12.9;0.0
Office and administrative support workers, all other;"=""43-9199""";3.8;3.4;-9.3;-0.4
Farming, fishing, and forestry occupations;"=""45-0000""";32.5;34.1;5.1;1.7
Supervisors of farming, fishing, and forestry workers;"=""45-1000""";2.1;2.4;14.7;0.3
First-line supervisors of farming, fishing, and forestry workers;"=""45-1011""";2.1;2.4;14.7;0.3
Agricultural workers;"=""45-2000""";23.3;24.4;5.0;1.2
Agricultural inspectors;"=""45-2011""";1.3;1.4;7.8;0.1
Animal breeders;"=""45-2021""";0.1;0.1;6.5;0.0
Graders and sorters, agricultural products;"=""45-2041""";9.7;9.2;-4.6;-0.4
Miscellaneous agricultural workers;"=""45-2090""";12.3;13.8;12.4;1.5
Agricultural equipment operators;"=""45-2091""";1.5;1.6;12.5;0.2
Farmworkers and laborers, crop, nursery, and greenhouse;"=""45-2092""";7.9;9.2;15.4;1.2
Farmworkers, farm, ranch, and aquacultural animals;"=""45-2093""";2.5;2.5;2.5;0.1
Agricultural workers, all other;"=""45-2099""";0.4;0.4;11.5;0.0
Forest, conservation, and logging workers;"=""45-4000""";7.0;7.2;2.8;0.2
Logging workers;"=""45-4020""";7.0;7.2;2.8;0.2
Fallers;"=""45-4021""";0.3;0.3;-4.2;0.0
Logging equipment operators;"=""45-4022""";3.5;3.7;5.6;0.2
Log graders and scalers;"=""45-4023""";2.9;2.9;0.6;0.0
Logging workers, all other;"=""45-4029""";0.3;0.3;-2.9;0.0
Construction and extraction occupations;"=""47-0000""";201.0;206.8;2.9;5.8
Supervisors of construction and extraction workers;"=""47-1000""";13.9;14.3;2.9;0.4
First-line supervisors of construction trades and extraction workers;"=""47-1011""";13.9;14.3;2.9;0.4
Construction trades workers;"=""47-2000""";177.6;182.7;2.9;5.2
Boilermakers;"=""47-2011""";1.1;1.1;3.7;0.0
Brickmasons, blockmasons, and stonemasons;"=""47-2020""";2.0;2.0;-2.0;0.0
Brickmasons and blockmasons;"=""47-2021""";0.5;0.6;14.0;0.1
Stonemasons;"=""47-2022""";1.5;1.4;-7.7;-0.1
Carpenters;"=""47-2031""";28.9;28.8;-0.1;0.0
Carpet, floor, and tile installers and finishers;"=""47-2040""";6.5;7.3;12.2;0.8
Carpet installers;"=""47-2041""";0.1;0.1;-13.8;0.0
Floor layers, except carpet, wood, and hard tiles;"=""47-2042""";0.8;0.9;12.5;0.1
Floor sanders and finishers;"=""47-2043""";0.1;0.1;0.2;0.0
Tile and stone setters;"=""47-2044""";5.5;6.2;13.0;0.7
Cement masons, concrete finishers, and terrazzo workers;"=""47-2050""";4.4;5.4;21.5;0.9
Cement masons and concrete finishers;"=""47-2051""";4.4;5.4;21.5;0.9
Construction laborers;"=""47-2061""";16.3;16.6;1.9;0.3
Construction equipment operators;"=""47-2070""";11.4;11.5;1.3;0.1
Paving, surfacing, and tamping equipment operators;"=""47-2071""";1.8;1.8;-0.8;0.0
Pile driver operators;"=""47-2072""";0.1;0.1;-0.8;0.0
Operating engineers and other construction equipment operators;"=""47-2073""";9.5;9.6;1.7;0.2
Drywall installers, ceiling tile installers, and tapers;"=""47-2080""";1.2;1.2;1.3;0.0
Drywall and ceiling tile installers;"=""47-2081""";1.1;1.1;1.3;0.0
Tapers;"=""47-2082""";0.1;0.1;2.1;0.0
Electricians;"=""47-2111""";48.0;48.6;1.2;0.6
Glaziers;"=""47-2121""";1.7;1.8;5.0;0.1
Insulation workers, floor, ceiling, and wall;"=""47-2131""";0.3;0.3;4.5;0.0
Painters and paperhangers;"=""47-2140""";5.2;5.3;1.4;0.1
Painters, construction and maintenance;"=""47-2141""";5.1;5.1;1.3;0.1
Paperhangers;"=""47-2142""";0.1;0.1;4.1;0.0
Pipelayers, plumbers, pipefitters, and steamfitters;"=""47-2150""";15.1;15.3;1.3;0.2
Pipelayers;"=""47-2151""";0.1;0.1;5.5;0.0
Plumbers, pipefitters, and steamfitters;"=""47-2152""";15.1;15.2;1.3;0.2
Reinforcing iron and rebar workers;"=""47-2171""";0.8;0.9;5.4;0.0
Roofers;"=""47-2181""";1.4;1.4;2.8;0.0
Sheet metal workers;"=""47-2211""";27.5;29.1;5.8;1.6
Structural iron and steel workers;"=""47-2221""";5.3;5.6;5.8;0.3
Solar photovoltaic installers;"=""47-2231""";0.1;0.2;11.7;0.0
Helpers, construction trades;"=""47-3000""";2.6;2.7;4.0;0.1
Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters;"=""47-3011""";0.3;0.3;22.1;0.1
Helpers--carpenters;"=""47-3012""";0.8;0.8;-1.8;0.0
Helpers--electricians;"=""47-3013""";0.5;0.5;3.7;0.0
Helpers--painters, paperhangers, plasterers, and stucco masons;"=""47-3014""";0.1;0.1;4.2;0.0
Helpers--pipelayers, plumbers, pipefitters, and steamfitters;"=""47-3015""";0.2;0.2;3.1;0.0
Helpers, construction trades, all other;"=""47-3019""";0.7;0.8;4.5;0.0
Other construction and related workers;"=""47-4000""";2.6;2.7;3.1;0.1
Construction and building inspectors;"=""47-4011""";0.1;0.1;-1.6;0.0
Elevator and escalator installers and repairers;"=""47-4021""";0.5;0.5;2.0;0.0
Fence erectors;"=""47-4031""";0.4;0.4;4.8;0.0
Hazardous materials removal workers;"=""47-4041""";0.2;0.2;4.0;0.0
Septic tank servicers and sewer pipe cleaners;"=""47-4071""";0.1;0.1;2.4;0.0
Miscellaneous construction and related workers;"=""47-4090""";1.3;1.4;3.6;0.0
Extraction workers;"=""47-5000""";4.3;4.3;1.8;0.1
Derrick, rotary drill, and service unit operators, oil and gas;"=""47-5010""";0.8;0.8;0.8;0.0
Rotary drill operators, oil and gas;"=""47-5012""";0.1;0.1;1.4;0.0
Service unit operators, oil and gas;"=""47-5013""";0.6;0.6;0.6;0.0
Surface mining machine operators and earth drillers;"=""47-5020""";1.3;1.3;2.6;0.0
Excavating and loading machine and dragline operators, surface mining;"=""47-5022""";1.2;1.2;2.4;0.0
Earth drillers, except oil and gas;"=""47-5023""";0.1;0.1;5.5;0.0
Explosives workers, ordnance handling experts, and blasters;"=""47-5032""";0.6;0.6;-0.7;0.0
Underground mining machine operators;"=""47-5040""";0.2;0.2;2.8;0.0
Continuous mining machine operators;"=""47-5041""";0.1;0.1;2.9;0.0
Loading and moving machine operators, underground mining;"=""47-5044""";0.1;0.1;2.7;0.0
Rock splitters, quarry;"=""47-5051""";0.8;0.8;2.2;0.0
Roustabouts, oil and gas;"=""47-5071""";0.5;0.5;3.0;0.0
Extraction workers, all other;"=""47-5099""";0.1;0.1;6.0;0.0
Installation, maintenance, and repair occupations;"=""49-0000""";697.1;756.9;8.6;59.7
Supervisors of installation, maintenance, and repair workers;"=""49-1000""";63.1;64.5;2.2;1.4
First-line supervisors of mechanics, installers, and repairers;"=""49-1011""";63.1;64.5;2.2;1.4
Electrical and electronic equipment mechanics, installers, and repairers;"=""49-2000""";32.1;32.9;2.5;0.8
Computer, automated teller, and office machine repairers;"=""49-2011""";1.7;1.7;2.4;0.0
Radio and telecommunications equipment installers and repairers;"=""49-2020""";0.8;0.8;1.6;0.0
Radio, cellular, and tower equipment installers and repairers;"=""49-2021""";0.6;0.6;-1.2;0.0
Telecommunications equipment installers and repairers, except line installers;"=""49-2022""";0.1;0.2;12.9;0.0
Miscellaneous electrical and electronic equipment mechanics, installers, and repairers;"=""49-2090""";29.7;30.4;2.5;0.8
Avionics technicians;"=""49-2091""";9.0;9.9;10.4;0.9
Electric motor, power tool, and related repairers;"=""49-2092""";2.6;2.7;1.9;0.0
Electrical and electronics installers and repairers, transportation equipment;"=""49-2093""";0.5;0.5;3.7;0.0
Electrical and electronics repairers, commercial and industrial equipment;"=""49-2094""";15.7;15.4;-1.4;-0.2
Electrical and electronics repairers, powerhouse, substation, and relay;"=""49-2095""";0.4;0.4;6.4;0.0
Electronic equipment installers and repairers, motor vehicles;"=""49-2096""";1.1;1.1;-3.3;0.0
Audiovisual equipment installers and repairers;"=""49-2097""";0.2;0.2;-7.4;0.0
Security and fire alarm systems installers;"=""49-2098""";0.2;0.2;0.3;0.0
Vehicle and mobile equipment mechanics, installers, and repairers;"=""49-3000""";67.4;68.9;2.2;1.5
Aircraft mechanics and service technicians;"=""49-3011""";25.7;26.4;2.5;0.6
Automotive technicians and repairers;"=""49-3020""";10.5;10.4;-1.1;-0.1
Automotive body and related repairers;"=""49-3021""";5.0;5.3;5.1;0.3
Automotive service technicians and mechanics;"=""49-3023""";5.5;5.1;-6.8;-0.4
Bus and truck mechanics and diesel engine specialists;"=""49-3031""";15.2;16.1;5.6;0.9
Heavy vehicle and mobile equipment service technicians and mechanics;"=""49-3040""";11.0;10.9;-0.8;-0.1
Farm equipment mechanics and service technicians;"=""49-3041""";1.0;1.0;0.6;0.0
Mobile heavy equipment mechanics, except engines;"=""49-3042""";9.6;9.5;-0.7;-0.1
Rail car repairers;"=""49-3043""";0.3;0.3;-9.5;0.0
Small engine mechanics;"=""49-3050""";2.4;2.5;4.0;0.1
Motorboat mechanics and service technicians;"=""49-3051""";2.2;2.3;5.4;0.1
Motorcycle mechanics;"=""49-3052""";0.1;0.1;-12.8;0.0
Outdoor power equipment and other small engine mechanics;"=""49-3053""";0.2;0.2;-1.9;0.0
Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers;"=""49-3090""";2.6;2.7;3.0;0.1
Recreational vehicle service technicians;"=""49-3092""";1.1;1.1;4.0;0.0
Tire repairers and changers;"=""49-3093""";1.5;1.5;2.7;0.0
Other installation, maintenance, and repair occupations;"=""49-9000""";534.5;590.6;10.5;56.1
Control and valve installers and repairers;"=""49-9010""";2.4;2.4;2.9;0.1
Mechanical door repairers;"=""49-9011""";0.7;0.7;5.0;0.0
Control and valve installers and repairers, except mechanical door;"=""49-9012""";1.7;1.7;2.1;0.0
Heating, air conditioning, and refrigeration mechanics and installers;"=""49-9021""";11.3;11.9;4.6;0.5
Home appliance repairers;"=""49-9031""";0.3;0.3;3.1;0.0
Industrial machinery installation, repair, and maintenance workers;"=""49-9040""";277.1;325.2;17.4;48.1
Industrial machinery mechanics;"=""49-9041""";228.8;273.1;19.4;44.3
Maintenance workers, machinery;"=""49-9043""";33.3;36.5;9.6;3.2
Millwrights;"=""49-9044""";14.6;15.3;4.8;0.7
Refractory materials repairers, except brickmasons;"=""49-9045""";0.3;0.3;-19.7;-0.1
Line installers and repairers;"=""49-9050""";0.2;0.2;27.0;0.0
Telecommunications line installers and repairers;"=""49-9052""";0.2;0.2;28.2;0.0
Precision instrument and equipment repairers;"=""49-9060""";4.5;4.7;4.7;0.2
Camera and photographic equipment repairers;"=""49-9061""";0.1;0.1;-16.6;0.0
Medical equipment repairers;"=""49-9062""";2.3;2.5;6.4;0.1
Musical instrument repairers and tuners;"=""49-9063""";0.4;0.4;6.3;0.0
Precision instrument and equipment repairers, all other;"=""49-9069""";1.6;1.7;3.2;0.1
Maintenance and repair workers, general;"=""49-9071""";200.8;206.6;2.9;5.8
Wind turbine service technicians;"=""49-9081""";0.4;0.4;0.5;0.0
Miscellaneous installation, maintenance, and repair workers;"=""49-9090""";37.6;38.9;3.4;1.3
Coin, vending, and amusement machine servicers and repairers;"=""49-9091""";2.2;2.7;22.7;0.5
Commercial divers;"=""49-9092""";0.1;0.1;5.5;0.0
Manufactured building and mobile home installers;"=""49-9095""";0.7;0.5;-23.7;-0.2
Riggers;"=""49-9096""";4.6;4.7;4.0;0.2
Helpers--installation, maintenance, and repair workers;"=""49-9098""";6.0;6.1;2.6;0.2
Installation, maintenance, and repair workers, all other;"=""49-9099""";24.1;24.7;2.5;0.6
Production occupations;"=""51-0000""";6307.2;6208.9;-1.6;-98.4
Supervisors of production workers;"=""51-1000""";492.4;500.0;1.5;7.6
First-line supervisors of production and operating workers;"=""51-1011""";492.4;500.0;1.5;7.6
Assemblers and fabricators;"=""51-2000""";1515.4;1507.3;-0.5;-8.1
Aircraft structure, surfaces, rigging, and systems assemblers;"=""51-2011""";26.7;21.9;-18.0;-4.8
Electrical, electronics, and electromechanical assemblers;"=""51-2020""";249.7;266.3;6.6;16.6
Coil winders, tapers, and finishers;"=""51-2021""";11.0;9.9;-9.3;-1.0
Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers;"=""51-2028""";238.8;256.4;7.4;17.6
Engine and other machine assemblers;"=""51-2031""";46.2;35.9;-22.2;-10.2
Structural metal fabricators and fitters;"=""51-2041""";47.4;39.8;-16.2;-7.7
Fiberglass laminators and fabricators;"=""51-2051""";18.8;19.7;4.8;0.9
Timing device assemblers and adjusters;"=""51-2061""";0.4;0.3;-16.1;-0.1
Miscellaneous assemblers and fabricators;"=""51-2090""";1126.1;1123.4;-0.2;-2.8
Food processing workers;"=""51-3000""";489.7;524.0;7.0;34.2
Bakers;"=""51-3011""";76.0;82.5;8.5;6.5
Butchers and other meat, poultry, and fish processing workers;"=""51-3020""";189.8;198.9;4.8;9.1
Butchers and meat cutters;"=""51-3021""";12.1;12.9;7.1;0.9
Meat, poultry, and fish cutters and trimmers;"=""51-3022""";110.8;118.0;6.4;7.1
Slaughterers and meat packers;"=""51-3023""";66.9;68.0;1.7;1.1
Miscellaneous food processing workers;"=""51-3090""";223.9;242.5;8.3;18.6
Food and tobacco roasting, baking, and drying machine operators and tenders;"=""51-3091""";15.9;16.2;2.0;0.3
Food batchmakers;"=""51-3092""";141.9;156.5;10.3;14.6
Food cooking machine operators and tenders;"=""51-3093""";23.7;24.1;1.8;0.4
Food processing workers, all other;"=""51-3099""";42.4;45.7;7.6;3.2
Metal workers and plastic workers;"=""51-4000""";1327.3;1278.4;-3.7;-48.9
Forming machine setters, operators, and tenders, metal and plastic;"=""51-4020""";93.1;91.2;-2.0;-1.9
Extruding and drawing machine setters, operators, and tenders, metal and plastic;"=""51-4021""";61.1;62.4;2.2;1.3
Forging machine setters, operators, and tenders, metal and plastic;"=""51-4022""";8.5;7.1;-16.0;-1.4
Rolling machine setters, operators, and tenders, metal and plastic;"=""51-4023""";23.5;21.7;-7.9;-1.8
Machine tool cutting setters, operators, and tenders, metal and plastic;"=""51-4030""";268.7;237.1;-11.8;-31.6
Cutting, punching, and press machine setters, operators, and tenders, metal and plastic;"=""51-4031""";161.5;142.5;-11.8;-19.0
Drilling and boring machine tool setters, operators, and tenders, metal and plastic;"=""51-4032""";5.0;4.0;-19.7;-1.0
Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic;"=""51-4033""";71.9;64.0;-11.0;-7.9
Lathe and turning machine tool setters, operators, and tenders, metal and plastic;"=""51-4034""";19.0;16.8;-11.6;-2.2
Milling and planing machine setters, operators, and tenders, metal and plastic;"=""51-4035""";11.2;9.7;-13.4;-1.5
Machinists;"=""51-4041""";243.7;246.7;1.2;2.9
Metal furnace operators, tenders, pourers, and casters;"=""51-4050""";25.0;23.9;-4.5;-1.1
Metal-refining furnace operators and tenders;"=""51-4051""";19.7;18.9;-4.2;-0.8
Pourers and casters, metal;"=""51-4052""";5.3;5.0;-5.9;-0.3
Model makers and patternmakers, metal and plastic;"=""51-4060""";4.2;3.3;-20.4;-0.9
Model makers, metal and plastic;"=""51-4061""";2.1;1.7;-18.5;-0.4
Patternmakers, metal and plastic;"=""51-4062""";2.1;1.6;-22.4;-0.5
Molders and molding machine setters, operators, and tenders, metal and plastic;"=""51-4070""";153.5;147.1;-4.2;-6.4
Foundry mold and coremakers;"=""51-4071""";11.5;8.7;-24.8;-2.9
Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic;"=""51-4072""";142.0;138.4;-2.5;-3.5
Multiple machine tool setters, operators, and tenders, metal and plastic;"=""51-4081""";100.6;101.6;1.0;1.0
Tool and die makers;"=""51-4111""";56.2;50.3;-10.4;-5.9
Welding, soldering, and brazing workers;"=""51-4120""";313.4;315.1;0.6;1.7
Welders, cutters, solderers, and brazers;"=""51-4121""";283.8;288.4;1.6;4.6
Welding, soldering, and brazing machine setters, operators, and tenders;"=""51-4122""";29.6;26.7;-9.7;-2.9
Miscellaneous metal workers and plastic workers;"=""51-4190""";69.0;62.1;-10.0;-6.9
Heat treating equipment setters, operators, and tenders, metal and plastic;"=""51-4191""";14.0;12.6;-10.3;-1.4
Layout workers, metal and plastic;"=""51-4192""";5.2;4.9;-5.5;-0.3
Plating machine setters, operators, and tenders, metal and plastic;"=""51-4193""";30.7;27.1;-11.8;-3.6
Tool grinders, filers, and sharpeners;"=""51-4194""";4.9;4.3;-11.2;-0.5
Metal workers and plastic workers, all other;"=""51-4199""";14.2;13.2;-7.0;-1.0
Printing workers;"=""51-5100""";163.2;137.8;-15.6;-25.4
Prepress technicians and workers;"=""51-5111""";18.2;13.9;-23.5;-4.3
Printing press operators;"=""51-5112""";112.5;98.1;-12.8;-14.4
Print binding and finishing workers;"=""51-5113""";32.5;25.8;-20.6;-6.7
Textile, apparel, and furnishings workers;"=""51-6000""";197.0;172.7;-12.3;-24.3
Laundry and dry-cleaning workers;"=""51-6011""";0.5;0.5;-3.4;0.0
Pressers, textile, garment, and related materials;"=""51-6021""";1.7;1.4;-17.6;-0.3
Sewing machine operators;"=""51-6031""";86.3;72.6;-16.0;-13.8
Shoe and leather workers;"=""51-6040""";10.1;9.1;-9.9;-1.0
Shoe and leather workers and repairers;"=""51-6041""";5.4;4.9;-10.0;-0.5
Shoe machine operators and tenders;"=""51-6042""";4.6;4.2;-9.8;-0.5
Tailors, dressmakers, and sewers;"=""51-6050""";3.6;2.9;-19.4;-0.7
Sewers, hand;"=""51-6051""";1.9;1.5;-19.0;-0.4
Tailors, dressmakers, and custom sewers;"=""51-6052""";1.7;1.4;-19.8;-0.3
Textile machine setters, operators, and tenders;"=""51-6060""";53.4;47.5;-10.9;-5.8
Textile bleaching and dyeing machine operators and tenders;"=""51-6061""";6.6;5.9;-10.4;-0.7
Textile cutting machine setters, operators, and tenders;"=""51-6062""";8.0;6.8;-14.8;-1.2
Textile knitting and weaving machine setters, operators, and tenders;"=""51-6063""";15.5;13.6;-12.3;-1.9
